enabled,class,ability,description
0,control,CANCEL_MORPHTHOREXPLOSIVEMODE,
0,control,CANCEL_STASISTRAP,
0,control,CANCEL_ADEPTPHASESHIFT,
0,control,CANCEL_ADEPTSHADEPHASESHIFT,
0,control,CANCEL_MORPHOVERLORDTRANSPORT,
0,control,CANCEL_LAST,
0,control,CANCEL_SLOT,
0,control,CANCEL_VOIDRAYPRISMATICALIGNMENT,
0,utility,HALT_TERRANBUILD,
0,utility,HALT_BUILDING,
0,utility,BUILDINPROGRESSNYDUSCANAL_CANCEL,
0,build,PROTOSSBUILD_CANCEL,
0,utility,BROODLORDQUEUE2_CANCEL,
0,utility,BROODLORDQUEUE2_CANCELSLOT,
0,build,ZERGBUILD_CANCEL,
0,utility,BURROWBANELINGDOWN_CANCEL,
0,utility,BURROWDRONEDOWN_CANCEL,
0,utility,BURROWHYDRALISKDOWN_CANCEL,
0,utility,BURROWROACHDOWN_CANCEL,
0,utility,BURROWZERGLINGDOWN_CANCEL,
0,utility,MERGEABLE_CANCEL,
0,utility,WARPABLE_CANCEL,
0,utility,BURROWQUEENDOWN_CANCEL,
0,utility,BURROWINFESTORDOWN_CANCEL,
0,utility,UPGRADETOWARPGATE_CANCEL,
0,utility,MORPHBACKTOGATEWAY_CANCEL,
0,utility,FORCEFIELD_CANCEL,
0,utility,PHASINGMODE_CANCEL,
0,utility,TRANSPORTMODE_CANCEL,
0,utility,QUEENBUILD_CANCEL,
0,utility,SPINECRAWLERUPROOT_CANCEL,
0,utility,SPORECRAWLERUPROOT_CANCEL,
0,utility,BUILDNYDUSCANAL_CANCEL,
0,utility,MORPHTOCOLLAPSIBLETERRANTOWERDEBRIS_CANCEL,
0,utility,MORPHTOCOLLAPSIBLETERRANTOWERDEBRISRAMPLEFT_CANCEL,
0,utility,MORPHTOCOLLAPSIBLETERRANTOWERDEBRISRAMPRIGHT_CANCEL,
0,utility,MORPHTOCOLLAPSIBLEROCKTOWERDEBRIS_CANCEL,
0,utility,MORPHTOSWARMHOSTBURROWEDMP_CANCEL,
0,utility,TESTZERG_CANCEL,
0,utility,WIDOWMINEBURROW_CANCEL,
0,utility,BURROWLURKERMPDOWN_CANCEL,
0,utility,MORPHTOCOLLAPSIBLEROCKTOWERDEBRISRAMPRIGHT_CANCEL,
0,utility,MORPHTOCOLLAPSIBLEROCKTOWERDEBRISRAMPLEFT_CANCEL,
0,utility,BURROWRAVAGERDOWN_CANCEL,
0,utility,THORAPMODE_CANCEL,
0,utility,MORPHTOGUARDIANMP_CANCEL,
0,utility,MORPHTODEVOURERMP_CANCEL,
0,utility,DEFILERMPBURROW_CANCEL,
0,utility,MORPHTOCOLLAPSIBLEPURIFIERTOWERDEBRIS_CANCEL,
0,utility,CHANNELSNIPE_CANCEL,
0,utility,MORPHTOCOLLAPSIBLEROCKTOWERDEBRISRAMPLEFTGREEN_CANCEL,
0,utility,MORPHTOCOLLAPSIBLEROCKTOWERDEBRISRAMPRIGHTGREEN_CANCEL,
0,utility,MORPHTOBANELING_CANCEL,
2,control,LIFT_COMMANDCENTER,Lift this Command Center into its flying form.
2,control,LIFT_BARRACKS,Lift this Barracks into its flying form.
2,control,LIFT_FACTORY,Lift this Factory into its flying form.
2,control,LIFT_STARPORT,Lift this Starport into its flying form.
2,control,LIFT_ORBITALCOMMAND,Lift this Orbital Command into its flying form.
2,utility,LIFT,Lift this Terran structure into its flying form.
2,control,LAND_COMMANDCENTER,Land this flying Command Center at the target position.
2,control,LAND_FACTORY,Land this flying Factory at the target position.
2,control,LAND_STARPORT,Land this flying Starport at the target position.
2,control,LAND_BARRACKS,Land this flying Barracks at the target position.
2,control,LAND_ORBITALCOMMAND,Land this flying Orbital Command at the target position.
2,utility,LAND,Land this flying Terran structure at the target position.
0,utility,SALVAGEEFFECT_SALVAGE,
1,combat,ATTACK_ATTACK,Attack some unit or structure.
1,combat,ATTACK_ATTACKTOWARDS,Attack towards target position.
1,combat,ATTACK_ATTACKBARRAGE,Attack barrage.
1,movement,MOVE_MOVE,Move to target position.
0,movement,PATROL_PATROL,Command unit to patrol from current position to target position.
1,technology,ARMORYRESEARCH_TERRANSHIPPLATINGLEVEL1,"Increase the armor of Terran Air units (Viking, Liberator, Banshee, and Battlecruiser)."
1,technology,ARMORYRESEARCH_TERRANSHIPPLATINGLEVEL2,"Increase the armor of Terran Air units (Viking, Liberator, Banshee, and Battlecruiser)."
1,technology,ARMORYRESEARCH_TERRANSHIPPLATINGLEVEL3,"Increase the armor of Terran Air units (Viking, Liberator, Banshee, and Battlecruiser)."
1,technology,ARMORYRESEARCH_TERRANSHIPWEAPONSLEVEL1,"Increase the damage of Terran Air units (Viking, Liberator, Banshee, and Battlecruiser)."
1,technology,ARMORYRESEARCH_TERRANSHIPWEAPONSLEVEL2,"Increase the damage of Terran Air units (Viking, Liberator, Banshee, and Battlecruiser)."
1,technology,ARMORYRESEARCH_TERRANSHIPWEAPONSLEVEL3,"Increase the damage of Terran Air units (Viking, Liberator, Banshee, and Battlecruiser)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEPLATINGLEVEL1,"Increase the armor of Terran Factory units (Hellion, Siege Tank, Cyclone, Hellbat, and Thor)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEPLATINGLEVEL2,"Increase the armor of Terran Factory units (Hellion, Siege Tank, Cyclone, Hellbat, and Thor)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEPLATINGLEVEL3,"Increase the armor of Terran Factory units (Hellion, Siege Tank, Cyclone, Hellbat, and Thor)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEWEAPONSLEVEL1,"Increase the damage of Terran Factory units (Hellion, Siege Tank, Cyclone, Hellbat, and Thor)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEWEAPONSLEVEL2,"Increase the damage of Terran Factory units (Hellion, Siege Tank, Cyclone, Hellbat, and Thor)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEWEAPONSLEVEL3,"Increase the damage of Terran Factory units (Hellion, Siege Tank, Cyclone, Hellbat, and Thor)."
1,technology,ARMORYRESEARCH_TERRANVEHICLEANDSHIPPLATINGLEVEL1,Increases the armor of Terran Factory and Starport units.
1,technology,ARMORYRESEARCH_TERRANVEHICLEANDSHIPPLATINGLEVEL2,Increases the armor of Terran Factory and Starport units.
1,technology,ARMORYRESEARCH_TERRANVEHICLEANDSHIPPLATINGLEVEL3,Increases the armor of Terran Factory and Starport units.
1,technology,BARRACKSTECHLABRESEARCH_STIMPACK,Every Marine and Marauder gain the Stimpack ability.
1,production,BARRACKSTRAIN_GHOST,"Train a Ghost, a stealthy special forces unit that can snipe high-value targets, deploy tactical nukes, and use cloaking for strategic advantage."
1,production,BARRACKSTRAIN_MARAUDER,"Train a Marauder, a heavily armored infantry unit that excels against armored targets with its concussive grenades, complementing Marine forces."
1,production,BARRACKSTRAIN_MARINE,"Train a Marine, a versatile, low-cost infantry unit that provides reliable ranged damage and forms the backbone of most Terran armies."
1,production,BARRACKSTRAIN_REAPER,"Train a Reaper, a fast, mobile infantry unit designed for early-game harassment and scouting, capable of jumping cliffs with its jetpack."
1,combat,ATTACK_BATTLECRUISER,Command Battlecruiser to attack.
1,utility,BATTLECRUISERATTACK_ATTACKTOWARDS,Conduct mobile attacks on the target.
1,utility,BATTLECRUISERATTACK_ATTACKBARRAGE,Launch artillery attacks on the target.
1,movement,MOVE_BATTLECRUISER,Command Battlecruiser to move.
0,movement,PATROL_BATTLECRUISER,
0,control,HOLDPOSITION_BATTLECRUISER,
0,movement,BATTLECRUISERMOVE_ACQUIREMOVE,"Refines movement capabilities, enhancing maneuverability in combat scenarios."
0,movement,BATTLECRUISERMOVE_TURN,"Adjusts the turning radius of the Battlecruiser, improving its ability to engage targets effectively."
0,control,STOP_BATTLECRUISER,Immediately halts all movement and actions of the Battlecruiser.
0,utility,BATTLECRUISERSTOP_HOLDFIRE,
0,utility,BATTLECRUISERSTOP_CHEER,
0,utility,BATTLECRUISERSTOP_DANCE,
1,combat,BEHAVIOR_CLOAKON_BANSHEE,The Benshee becomes invisible until it runs out of energy or the player cancels Cloak.
1,combat,BEHAVIOR_CLOAKON_GHOST,The Ghost becomes invisible until it runs out of energy or the player cancels Cloak.
1,combat,BEHAVIOR_HOLDFIREON_GHOST,Do not actively attack the enemy.
1,utility,BUILDAUTOTURRET_AUTOTURRET,"Build an Auto-Turret, a temporary and immobile defense structure."
1,build,BUILD_NUKE,Build a nuke.
1,technology,BUILD_REACTOR_BARRACKS,Allows structure create 2 units simultaneously.
1,technology,BUILD_REACTOR_FACTORY,Allows structure create 2 units simultaneously.
1,technology,BUILD_REACTOR_STARPORT,Allows structure create 2 units simultaneously.
1,technology,BUILD_TECHLAB_BARRACKS,Unlocks Marauder and is a requirement for Ghost.
1,technology,BUILD_TECHLAB_FACTORY,Unlocks Siege Tank and is a requirement for Thor.
1,technology,BUILD_TECHLAB_STARPORT,Unlocks Raven and Banshee and is a requirement for Battlecruiser.
0,utility,BURROWDOWN_DRONE,
0,utility,BURROWDOWN_HYDRALISK,
0,utility,BURROWDOWN_ROACH,
0,utility,BURROWDOWN_ZERGLING,
0,utility,BURROWDOWN_INFESTORTERRAN,
0,utility,BURROWDOWN_QUEEN,
0,utility,BURROWDOWN_INFESTOR,
0,utility,BURROWDOWN_ULTRALISK,
0,utility,BURROWDOWN_RAVAGER,
0,utility,BURROWDOWN_SWARMHOST,
2,utility,BURROWDOWN_WIDOWMINE,Burrow this Widow Mine underground.
0,utility,BURROWDOWN_BANELING,
1,utility,BURROWUP_WIDOWMINE,Enables the Widow Mine to emerge from the ground and regain mobility.
1,economy,CALLDOWNMULE_CALLDOWNMULE,"Calls down a MULE, a temporary unit with a timed life of 64 seconds that can mine minerals and repair for the Terran forces."
1,economy,COMMANDCENTERTRAIN_SCV,"Train a SCV, a Terran worker."
1,combat,EFFECT_ANTIARMORMISSILE,"Deploys a Missile which pursues the target unit, and, upon contact, reduces the armor and shield armor of affected units by 2 for 21 seconds."
1,combat,EFFECT_GHOSTSNIPE,Deal 25 damage to enemy biological units (50 for Psionic).
1,combat,EFFECT_INTERFERENCEMATRIX,Disables a target unit rendering it unable to attack or use abilities for 11 seconds. Reveals Cloaked units. Can only target mechanical and psionic units.
1,combat,EFFECT_MEDIVACIGNITEAFTERBURNERS,Speed boost that increases Medivac's movement speed to 5.95 and acceleration to 1400 for 4.3 seconds.
0,support,EFFECT_REPAIR_MULE,Repair some unit or strcture.
2,support,EFFECT_REPAIR_SCV,Repair the target friendly unit or structure.
0,combat,EFFECT_SALVAGE,"Destroy a Bunker, returning 75 minerals."
0,combat,EFFECT_SPRAY_TERRAN,Spray a marker.
0,combat,EFFECT_SPRAY_PROTOSS,Spray a marker.
0,combat,EFFECT_SPRAY_ZERG,Spray a marker.
1,combat,EFFECT_STIM_MARAUDER,Increases the movement speed and firing rate by 50% at the cost of 20 HP.
1,combat,EFFECT_STIM_MARINE,Increases the movement speed and firing rate by 50% at the cost of 10 HP.
1,combat,EFFECT_STIM_MARINE_REDIRECT,Increases inner Marine movement speed and firing rate by 50% at the cost of 10 HP.
1,combat,EFFECT_STIM_MARAUDER_REDIRECT,Increases inner Marauder movement speed and firing rate by 50% at the cost of 20 HP.
1,combat,EFFECT_TACTICALJUMP,"After 4 seconds, warps to the target location. Battlecruiser is invincible while warping. Stuns and puts the Battlecruiser into a 1 second vulnerability phase before it teleports. In this state, the Battlecruiser can be damaged, but Tactical Jump may not be canceled."
1,combat,EMP_EMP,The Ghost fires an EMP Round that removes up to 100 shields and energy from every unit and building within the AoE. Also reveals cloaked units.
1,technology,ENGINEERINGBAYRESEARCH_TERRANINFANTRYARMORLEVEL1,"Increase the armor of Terran infantry units (Ghost, Marauder, Reaper, Marine, SCV)."
1,technology,ENGINEERINGBAYRESEARCH_TERRANINFANTRYARMORLEVEL2,"Increase the armor of Terran infantry units (Ghost, Marauder, Reaper, Marine, SCV)."
1,technology,ENGINEERINGBAYRESEARCH_TERRANINFANTRYARMORLEVEL3,"Increase the armor of Terran infantry units (Ghost, Marauder, Reaper, Marine, SCV)."
1,technology,ENGINEERINGBAYRESEARCH_TERRANINFANTRYWEAPONSLEVEL1,"Increase the damage of Terran infantry units (Ghost, Marauder, Reaper, Marine)."
1,technology,ENGINEERINGBAYRESEARCH_TERRANINFANTRYWEAPONSLEVEL2,"Increase the damage of Terran infantry units (Ghost, Marauder, Reaper, Marine)."
1,technology,ENGINEERINGBAYRESEARCH_TERRANINFANTRYWEAPONSLEVEL3,"Increase the damage of Terran infantry units (Ghost, Marauder, Reaper, Marine)."
1,production,FACTORYTRAIN_HELLION,"Train a Hellion, a fast harassment vehicle that incinerates light ground units in a line."
1,production,FACTORYTRAIN_SIEGETANK,"Train a Siege Tank, a transforming artillery unit that bombards ground targets from long range with devastating area-of-effect damage."
1,production,FACTORYTRAIN_THOR,"Train a Thor, a heavily-armored combat walker that excels against massive ground units and light air fleets."
1,production,FACTORYTRAIN_WIDOWMINE,"Train a Widow Mine, a burrowing trap that launches a devastating missile at the first enemy ground or air unit to cross its path."
2,control,HALT,Stop this unit's current action.
0,utility,HALT_BUILDING,
0,utility,HALT_TERRANBUILD,
0,economy,HARVEST_GATHER,
0,economy,HARVEST_GATHER_DRONE,
0,economy,HARVEST_GATHER_MULE,
0,economy,HARVEST_GATHER_PROBE,
0,economy,HARVEST_GATHER_SCV,
0,economy,HARVEST_RETURN,
0,economy,HARVEST_RETURN_DRONE,
0,economy,HARVEST_RETURN_MULE,
0,economy,HARVEST_RETURN_PROBE,
0,utility,HOLDPOSITION,
1,utility,KD8CHARGE_KD8CHARGE,"Explodes after a short delay, dealing 5 damage and knocking back nearby units."
0,utility,LOADALL_COMMANDCENTER,
1,utility,LOAD_BUNKER,Load a unit into a Bunker.
0,utility,LOAD_MEDIVAC,Load a unit into a Medivac.
1,utility,LOCKON_LOCKON,"Locks the Cyclone's weapons on the target unit, increasing the Cyclone's range to 9 and allowing it to move while firing. Canceled if the target moves out of range (9) or vision."
1,support,MEDIVACHEAL_HEAL,Enables a Medivac to heal nearby injured units.
1,technology,MORPH_HELLBAT,"Transforms the Hellion into its Hellbat form, short-range defense mode."
1,technology,MORPH_HELLION,"Transforms the Hellbat into its Hellion form, remote support mode."
1,technology,MORPH_LIBERATORAAMODE,"Reverts to Fighter Mode. In this mode, Liberators can move, but they can only target air units."
1,technology,MORPH_LIBERATORAGMODE,"Deploys into Defender Mode. In this mode, Liberators inflict single target damage to ground units. Liberators in this mode cannot move."
2,control,MORPH_SUPPLYDEPOT_LOWER,Lower this Supply Depot so ground units can pass.
0,technology,MORPH_SUPPLYDEPOT_RAISE,
1,technology,MORPH_THOREXPLOSIVEMODE,"Arms the Thor's Javelin missile launchers, which deal splash damage to nearby air units and additional damage to Light units."
1,technology,MORPH_THORHIGHIMPACTMODE,"Activates the Thor's 250mm Punisher Cannons, which strike a single air target for heavy damage."
1,technology,MORPH_VIKINGASSAULTMODE,Transforms the Viking into Assault Mode where it becomes a Ground unit with a ground attack.
1,technology,MORPH_VIKINGFIGHTERMODE,Transforms the Viking into Fighter Mode where it becomes an Air unit with an anti-air attack.
1,movement,MOVE,Move to target position.
1,technology,RESEARCH_SMARTSERVOS,"Allows Hellions, Hellbats, Vikings, and Thors to transform quickly between combat modes."
1,technology,RESEARCH_CYCLONELOCKONDAMAGE,Increases Cyclone Lock On damage. Deals 600 damage over 14 seconds to ground and flying targets.
1,technology,RESEARCH_BANSHEECLOAKINGFIELD,Allows Banshees to use the Cloak ability.
1,technology,RESEARCH_BANSHEEHYPERFLIGHTROTORS,Increases the movement speed of Banshees from 3.85 to 5.25.
1,technology,RESEARCH_BATTLECRUISERWEAPONREFIT,Allows Battlecruisers to use the Yamato Cannon ability.
1,technology,RESEARCH_COMBATSHIELD,Every Marine gains a Combat Shield that gives 10 hitpoints.
1,technology,RESEARCH_CONCUSSIVESHELLS,Marauders gain the Concussive Shells ability.
1,technology,RESEARCH_DRILLINGCLAWS,"Allows Widow Mines to burrow, unborrow and activate two times as fast. Additionally this grants invisibility while reloading."
1,technology,RESEARCH_HISECAUTOTRACKING,"Adds +1 attack range to Auto-Turrets, Missile Turrets, and Planetary Fortresses."
1,technology,RESEARCH_INFERNALPREIGNITER,Improves the Hellion's bonus against Light units by +5 damage and the Hellbat's bonus against Light units by +12 damage.
1,technology,RESEARCH_PERSONALCLOAKING,Enables Ghosts to use the Cloak ability. Cloak renders a unit invisible to enemies unless it's revealed by detectors or effects.
1,technology,RESEARCH_RAVENCORVIDREACTOR,Increases the Raven's starting energy by 25.
1,technology,RESEARCH_TERRANSTRUCTUREARMORUPGRADE,"Increases the armor of the Point Defense Drone, Auto-Turret, Missile Turret, Planetary Fortress, and all other Terran structures by 2."
1,combat,SIEGEMODE_SIEGEMODE,"Transforms a Siege Tank into Siege Mode, increasing its attack range and damage but preventing movement."
1,technology,STARPORTTECHLABRESEARCH_RESEARCHDURABLEMATERIALS,"Increases the duration of Auto-Turrets and Point Defense Drones from 180 to 240 seconds, and increases the duration of the Seeker Missile from 15 to 20 Seconds."
1,technology,STARPORTTECHLABRESEARCH_RESEARCHMEDIVACENERGYUPGRADE,Double the energy regeneration rate of Medivac.
1,production,STARPORTTRAIN_BANSHEE,"Train a Banshee, a cloaked air unit that excels at surprise attacks against ground targets."
1,production,STARPORTTRAIN_BATTLECRUISER,"Train a Battle Cruiser, a powerful capital ship that can teleport across the map and unleash a devastating single-target blast."
1,production,STARPORTTRAIN_LIBERATOR,"Train a Liberator, an air unit that transforms into a stationary platform to lockdown and destroy ground targets in a designated area."
1,production,STARPORTTRAIN_MEDIVAC,"Train a Medivac, a flying support unit that heals biological forces and transports them across the battlefield."
1,production,STARPORTTRAIN_RAVEN,"Train a Raven, a flying spellcaster that disrupts enemy armies with debilitating abilities and provides detection."
1,production,STARPORTTRAIN_VIKINGFIGHTER,"Train a Viking Fighter, a transforming fighter that dominates the skies in air mode and provides ground support in assault mode."
0,utility,SUPPLYDROP_SUPPLYDROP,
1,build,TERRANBUILD_ARMORY,"Build a Armory to unlock the Hellbat, Thor and higher-level infantry upgrades."
1,build,TERRANBUILD_BARRACKS,"Build a Barracks to produce infantry units (Marine, Reaper, Marauder, Ghost)."
1,build,TERRANBUILD_BUNKER,"Build a Bunker, a static defense building."
1,build,TERRANBUILD_COMMANDCENTER,"Build a Command Center, the Terran base."
2,build,TERRANBUILD_ENGINEERINGBAY,Build an Engineering Bay to unlock Missile Turrets and upgrades.
1,build,TERRANBUILD_FACTORY,"Build a Factory to produce mechanical ground units (Hellion, Widow Mine, Siege Tank, Hellbat, Thor) and unlock the Starport and Armory."
1,build,TERRANBUILD_FUSIONCORE,Build a Fusion Core to unlock Battlecruiser.
1,build,TERRANBUILD_GHOSTACADEMY,Build a Ghost Academy to unlock the Ghost unit.
1,build,TERRANBUILD_MISSILETURRET,Build a Missile Turret to attack flying units.
1,build,TERRANBUILD_REFINERY,Build a Refinery on a Vespene Geyser.
1,build,TERRANBUILD_SENSORTOWER,"Build a Sensor Tower, which senses any approaching uncloaked, unburrowed enemy units."
1,build,TERRANBUILD_STARPORT,"Build a Starport to produce air units (Viking, Medivac, Banshee, Raven, Battlecruiser)."
1,build,TERRANBUILD_SUPPLYDEPOT,Build a Supply Depot to increase 8 supplies and unlock Barracks.
1,production,TRAIN_CYCLONE,"Train a Cyclone, locking onto a single air or ground target to deal immense damage while moving to stay at range."
1,production,TRAIN_HELLBAT,"Train a Hellbat, a tough, short-ranged walker that incinerates masses of light units with its wide flame attack."
1,combat,UNSIEGE_UNSIEGE,Converts a Siege Tank back from Siege Mode to its regular mode.
1,technology,UPGRADETOORBITAL_ORBITALCOMMAND,"Unlocks MULE (Faster Mineral Income), Extra Supplies (Doubles Supply Depot food), and use Scanner Sweep (Reveal any part of the map)."
1,technology,UPGRADETOPLANETARYFORTRESS_PLANETARYFORTRESS,Enhance the defense capability of Command Center.
1,utility,WIDOWMINEATTACK_WIDOWMINEATTACK,Command Widow Mine to attack.
1,combat,YAMATO_YAMATOGUN,"Blasts a target with a devastating plasma cannon, causing 240 damage."
1,technology,STARPORTTECHLABRESEARCH_RESEARCHRAVENINTERFERENCEMATRIX,Allows Ravens to use the Interference Matrix ability.
0,utility,UNLOADALL_BUNKER,Unload all units from a Bunker.
0,utility,UNLOADALLAT_OVERLORD,
1,build,PROTOSSBUILD_ASSIMILATOR,"Build an assimilator, built on a Vespene Geyser that allows Probes to harvest gas."
1,build,PROTOSSBUILD_CYBERNETICSCORE,Build a Cybernetics Core.
1,build,PROTOSSBUILD_DARKSHRINE,Build a Dark Shrine.
1,build,PROTOSSBUILD_FLEETBEACON,Build a Fleet Beacon.
1,build,PROTOSSBUILD_FORGE,Build a Forge.
1,build,PROTOSSBUILD_GATEWAY,Build a Gateway to training ground units.
1,build,PROTOSSBUILD_NEXUS,Build a Nexus.
1,build,PROTOSSBUILD_PHOTONCANNON,"Build a Photon Cannon, a static defense structure that detects and attacks both ground and air units."
1,build,PROTOSSBUILD_PYLON,"Build a Pylon, providing supply and projects a power field."
1,build,PROTOSSBUILD_ROBOTICSBAY,Build a Robotics Bay to unlocks the powerful Colossus and Disruptor units.
1,build,PROTOSSBUILD_ROBOTICSFACILITY,Build a Robotics Facility.
1,build,PROTOSSBUILD_STARGATE,Build a Protoss Stargate.
1,build,PROTOSSBUILD_TEMPLARARCHIVE,Build a Templar Archive.
1,build,PROTOSSBUILD_TWILIGHTCOUNCIL,Build a Twilight Council.
1,build,BUILD_SHIELDBATTERY,Build a Shield Battery to restore shields of a single friendly unit or building within 6 range.
1,production,NEXUSTRAIN_PROBE,Train a Probe.
1,combat,EFFECT_CHRONOBOOSTENERGYCOST,Reduce the unit production time or technological research time of the target building.
1,combat,EFFECT_CHRONOBOOST,Reduce the unit production time or technological research time of the target building.
1,combat,EFFECT_MASSRECALL,Instantly teleport the unit back to its current location.
1,combat,EFFECT_MASSRECALL_MOTHERSHIP,Instantly teleport the unit back to its current location.
1,combat,EFFECT_MASSRECALL_MOTHERSHIPCORE,Instantly teleport the unit back to its current location.
1,combat,EFFECT_MASSRECALL_NEXUS,Instantly teleport the unit back to its current location.
1,combat,EFFECT_MASSRECALL_STRATEGICRECALL,Instantly teleport the unit back to its current location.
1,utility,ENERGYRECHARGE_ENERGYRECHARGE,Restore energy to designated units.
1,production,WARPGATETRAIN_ZEALOT,"Train a Zealot, a durable frontline warrior that charges to rapidly close with and attack ground enemies."
1,production,WARPGATETRAIN_STALKER,"Train a Stalker, a mobile ranged warrior that can Blink to outmaneuver foes and attack both ground and air targets."
1,production,WARPGATETRAIN_HIGHTEMPLAR,"Train a High Templar, a powerful spellcaster that devastates armies with Psionic Storm and neutralizes enemy casters with Feedback."
1,production,WARPGATETRAIN_DARKTEMPLAR,"Train a Dark Templar, a permanently cloaked assassin that deals devastating melee damage to any ground unit that cannot detect it."
1,production,WARPGATETRAIN_SENTRY,"Train a Sentry, a tactical support caster that manipulates the battlefield with Force Fields and protects allies with a Guardian Shield."
1,production,GATEWAYTRAIN_ZEALOT,"Train a Zealot, a durable frontline warrior that charges to rapidly close with and attack ground enemies."
1,production,GATEWAYTRAIN_STALKER,"Train a Stalker, a mobile ranged warrior that can Blink to outmaneuver foes and attack both ground and air targets."
1,production,GATEWAYTRAIN_HIGHTEMPLAR,"Train a High Templar, a powerful spellcaster that devastates armies with Psionic Storm and neutralizes enemy casters with Feedback."
1,production,GATEWAYTRAIN_DARKTEMPLAR,"Train a Dark Templar, a permanently cloaked assassin that deals devastating melee damage to any ground unit that cannot detect it."
1,production,GATEWAYTRAIN_SENTRY,"Train a Sentry, a tactical support caster that manipulates the battlefield with Force Fields and protects allies with a Guardian Shield."
1,production,STARGATETRAIN_PHOENIX,"Train a Phoenix, a swift anti-air fighter that can lift and disable single ground units."
1,production,STARGATETRAIN_CARRIER,"Train a Carrier, a powerful capital ship that launches swarms of robotic Interceptors to overwhelm its targets."
1,production,STARGATETRAIN_VOIDRAY,"Train a Void Ray, an assault ship whose beam focuses on a single target to rapidly ramp up its damage, melting armored units and buildings."
1,production,STARGATETRAIN_ORACLE,"Train an Oracle, a swift harassment and support craft that can reveal enemy armies, trap units in stasis, and eliminate worker lines."
1,production,STARGATETRAIN_TEMPEST,"Train a Tempest, a long-range artillery ship that bombards key targets from extreme distances, specializing in destroying massive air units."
1,production,ROBOTICSFACILITYTRAIN_WARPPRISM,"Train a Warpprism, an aerial transport that can deploy into a mobile power field, allowing you to warp in units anywhere on the battlefield."
1,production,ROBOTICSFACILITYTRAIN_OBSERVER,"Train an Observer, a permanently cloaked aerial scout that provides crucial vision and detects hidden enemy units."
1,production,ROBOTICSFACILITYTRAIN_COLOSSUS,"Train a Colossus, a massive walker whose twin thermal lances incinerate large groups of ground units from a long range."
1,production,ROBOTICSFACILITYTRAIN_IMMORTAL,"Train a Immortal, a heavily armored walker that demolishes armored targets and can activate a barrier to survive heavy fire."
1,technology,FORGERESEARCH_PROTOSSGROUNDWEAPONSLEVEL1,"Increases the attack damage of Zealots, Dragoons, Dark Templars and Archons."
1,technology,FORGERESEARCH_PROTOSSGROUNDWEAPONSLEVEL2,"Increases the attack damage of Zealots, Dragoons, Dark Templars and Archons."
1,technology,FORGERESEARCH_PROTOSSGROUNDWEAPONSLEVEL3,"Increases the attack damage of Zealots, Dragoons, Dark Templars and Archons."
1,technology,FORGERESEARCH_PROTOSSGROUNDARMORLEVEL1,Increases the armor of all Protoss ground forces.
1,technology,FORGERESEARCH_PROTOSSGROUNDARMORLEVEL2,Increases the armor of all Protoss ground forces.
